age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,montant_augmentation_precedente,inertie_poste,revenu_par_niveau,satisfaction_globale,satisfaction_min,satisfaction_max,performance,hs_et_salaire_bas,jeune_faible_anciennete,serial-worker,poste_x_niveau,formations_par_an,part_sans_promotion
36,M,7596,Marié(e),Commercial,Cadre Commercial,1,10,10,9,2,2,2,2,Transformation Digitale,Occasionnel,9,0,2,2,3,3,2,3,3,Non,13.0,874,0.9,2531.99,2.5,2,3,1,0,0,0,Cadre Commercial | N3,0.182,0.9
30,M,2285,Célibataire,Consulting,Assistant de Direction,9,3,1,0,0,4,4,3,Entrepreunariat,Frequent,0,0,3,3,1,4,3,3,4,Oui,23.0,427,0.0,2284.98,3.25,3,4,1,1,1,1,Assistant de Direction | N1,2.0,0.0
37,F,3034,Divorcé(e),Consulting,Consultant,1,18,18,7,1,2,14,3,Infra & Cloud,Occasionnel,12,17,4,3,1,1,3,2,3,Non,12.0,325,0.389,3033.97,2.5,1,4,0,0,0,0,Consultant | N1,0.105,0.667
40,F,5715,Divorcé(e),Commercial,Cadre Commercial,7,8,5,4,2,5,2,2,Marketing,Occasionnel,1,3,4,3,2,2,3,3,3,Non,12.0,612,0.8,2857.49,3.0,2,4,0,0,0,1,Cadre Commercial | N2,0.833,0.2
42,F,2576,Divorcé(e),Consulting,Consultant,3,8,5,2,1,5,1,4,Infra & Cloud,Occasionnel,1,2,2,3,1,1,2,3,3,Non,16.0,355,0.4,2575.97,2.0,1,3,0,0,0,0,Consultant | N1,0.833,0.2
37,M,4197,Célibataire,Consulting,Tech Lead,2,18,1,0,0,2,10,4,Infra & Cloud,Occasionnel,0,1,3,3,2,2,4,2,3,Oui,12.0,450,0.0,2098.49,2.75,2,4,0,1,0,0,Tech Lead | N2,1.0,0.0
43,M,14336,Divorcé(e),Consulting,Directeur Technique,1,25,25,10,1,3,12,3,Infra & Cloud,Occasionnel,3,9,1,2,4,2,3,3,3,Non,11.0,1421,0.4,3583.99,2.25,1,3,1,0,0,0,Directeur Technique | N4,0.115,0.12
40,F,3448,Marié(e),Consulting,Consultant,6,20,1,0,1,3,2,3,Transformation Digitale,Occasionnel,0,0,2,2,2,3,2,3,4,Non,22.0,622,0.0,1723.99,2.5,2,3,2,0,0,1,Consultant | N2,1.5,0.0
54,M,19406,Marié(e),Consulting,Directeur Technique,4,24,4,2,1,4,5,2,Transformation Digitale,Occasionnel,1,2,1,3,5,1,3,2,3,Non,11.0,1923,0.5,3881.19,1.75,1,3,0,0,0,0,Directeur Technique | N5,0.8,0.25
34,F,6538,Marié(e),Commercial,Cadre Commercial,9,6,3,2,1,3,4,4,Marketing,Aucun,1,2,3,3,2,3,1,3,3,Non,15.0,853,0.667,3268.98,2.5,1,3,0,0,0,1,Cadre Commercial | N2,0.75,0.333
31,F,4306,Marié(e),Consulting,Tech Lead,1,13,13,10,1,5,7,2,Transformation Digitale,Occasionnel,3,12,2,3,2,1,2,1,3,Non,12.0,461,0.769,2152.99,1.5,1,2,0,0,0,0,Tech Lead | N2,0.357,0.231
43,M,2258,Marié(e),Consulting,Consultant,7,8,3,2,1,1,21,3,Transformation Digitale,Frequent,1,2,4,3,1,4,1,3,4,Non,20.0,376,0.667,2257.98,3.0,1,4,1,0,0,1,Consultant | N1,0.25,0.333
43,F,4522,Divorcé(e),Consulting,Manager,4,8,5,2,0,3,8,4,Autre,Occasionnel,0,2,3,3,2,3,4,3,3,Oui,14.000000000000002,555,0.4,2260.99,3.25,3,4,0,1,0,0,Manager | N2,0.5,0.0
25,F,4487,Célibataire,Commercial,Cadre Commercial,1,5,5,4,0,3,4,2,Infra & Cloud,Occasionnel,1,3,2,2,2,4,2,3,3,Oui,11.0,445,0.8,2243.49,2.75,2,4,1,1,0,0,Cadre Commercial | N2,0.5,0.2
37,F,4449,Marié(e),Consulting,Assistant de Direction,3,15,13,11,2,2,25,5,Transformation Digitale,Aucun,10,7,2,3,2,3,1,3,3,Oui,15.0,580,0.846,2224.49,2.25,1,3,0,1,0,0,Assistant de Direction | N2,0.143,0.769
31,M,2218,Marié(e),Consulting,Consultant,1,4,4,2,1,3,1,2,Infra & Cloud,Occasionnel,3,2,4,2,1,1,3,3,3,Non,12.0,238,0.5,2217.98,2.75,1,4,1,0,0,0,Consultant | N1,0.6,0.75
39,M,19197,Divorcé(e),Consulting,Senior Manager,1,21,21,8,1,3,1,1,Infra & Cloud,Frequent,1,6,2,3,5,3,3,3,3,Oui,14.000000000000002,2358,0.381,3839.39,2.75,2,3,0,0,0,0,Senior Manager | N5,0.136,0.048
56,F,13212,Marié(e),Commercial,Cadre Commercial,9,36,7,7,3,0,6,3,Infra & Cloud,Frequent,7,7,3,4,4,1,4,2,3,Non,11.0,1309,1.0,3302.99,2.5,1,4,-1,0,0,1,Cadre Commercial | N4,0.0,1.0
30,F,6577,Célibataire,Commercial,Cadre Commercial,0,6,5,4,0,6,12,3,Entrepreunariat,Occasionnel,4,4,2,3,2,3,2,3,3,Non,11.0,652,0.8,3288.48,2.5,2,3,0,0,0,0,Cadre Commercial | N2,1.0,0.8
41,M,8392,Marié(e),Commercial,Cadre Commercial,1,10,10,7,1,2,1,3,Marketing,Occasionnel,0,7,2,4,3,1,3,3,3,Non,16.0,1158,0.7,2797.32,2.25,1,3,-1,0,0,0,Cadre Commercial | N3,0.182,0.0
28,M,4558,Divorcé(e),Consulting,Consultant,1,10,10,0,1,2,17,2,Transformation Digitale,Occasionnel,1,8,3,3,2,1,4,3,3,Non,12.0,488,0.0,2278.99,2.75,1,4,0,0,0,0,Consultant | N2,0.182,0.1
25,M,4031,Marié(e),Consulting,Consultant,5,6,2,2,1,5,3,3,Transformation Digitale,Occasionnel,0,2,1,3,1,1,3,3,3,Non,13.0,464,1.0,4030.96,2.0,1,3,0,0,1,1,Consultant | N1,1.667,0.0
52,M,7969,Marié(e),Consulting,Tech Lead,2,28,5,4,0,4,3,3,Transformation Digitale,Occasionnel,0,4,4,2,3,3,3,3,3,Oui,14.000000000000002,979,0.8,2656.32,3.25,3,4,1,0,0,0,Tech Lead | N3,0.667,0.0
45,M,2654,Marié(e),Consulting,Assistant de Direction,3,8,2,2,2,3,10,2,Infra & Cloud,Occasionnel,0,2,1,3,1,4,4,2,4,Non,21.0,461,1.0,2653.97,2.75,1,4,1,0,0,0,Assistant de Direction | N1,1.0,0.0
52,F,16555,Marié(e),Consulting,Senior Manager,2,31,5,2,0,2,4,2,Infra & Cloud,Occasionnel,1,4,4,3,4,4,4,1,3,Non,13.0,1905,0.4,4138.74,3.25,1,4,0,0,0,0,Senior Manager | N4,0.333,0.2
42,F,4556,Divorcé(e),Consulting,Assistant de Direction,2,19,5,4,1,3,29,2,Infra & Cloud,Frequent,0,2,1,3,2,3,2,3,3,Non,11.0,451,0.8,2277.99,2.25,1,3,0,0,0,0,Assistant de Direction | N2,0.5,0.0
30,F,6091,Célibataire,Consulting,Tech Lead,2,11,5,4,0,2,2,3,Infra & Cloud,Occasionnel,0,2,3,1,2,4,3,3,4,Non,20.0,1015,0.8,3045.48,3.25,3,4,3,0,0,0,Tech Lead | N2,0.333,0.0
60,F,19566,Marié(e),Consulting,Senior Manager,5,33,29,8,0,5,7,3,Infra & Cloud,Occasionnel,11,10,1,3,5,1,4,1,3,Non,11.0,1939,0.276,3913.19,1.75,1,4,0,0,0,1,Senior Manager | N5,0.167,0.379
46,F,4810,Divorcé(e),Consulting,Tech Lead,2,19,10,7,1,5,18,3,Transformation Digitale,Occasionnel,0,8,3,3,2,3,3,2,3,Non,14.000000000000002,591,0.7,2404.99,2.75,2,3,0,0,0,0,Tech Lead | N2,0.455,0.0
42,F,4523,Marié(e),Consulting,Manager,0,7,6,5,3,4,28,4,Entrepreunariat,Frequent,0,4,4,2,2,4,4,4,3,Non,11.0,448,0.833,2261.49,4.0,4,4,1,0,0,0,Manager | N2,0.571,0.0
24,F,3202,Célibataire,Commercial,Représentant Commercial,1,6,5,3,0,4,1,1,Entrepreunariat,Occasionnel,1,4,1,3,1,2,2,3,3,Oui,16.0,442,0.6,3201.97,2.0,1,3,0,1,0,0,Représentant Commercial | N1,0.667,0.2
34,F,2351,Divorcé(e),Commercial,Représentant Commercial,0,3,2,2,1,3,6,2,Marketing,Frequent,1,0,4,1,1,3,4,2,3,Non,16.0,324,1.0,2350.98,3.25,2,4,2,0,0,0,Représentant Commercial | N1,1.0,0.5
38,M,1702,Marié(e),Consulting,Consultant,1,1,1,0,1,3,2,2,Infra & Cloud,Frequent,0,0,4,3,1,4,3,3,4,Oui,23.0,318,0.0,1701.98,3.5,3,4,1,1,0,0,Consultant | N1,1.5,0.0
40,F,18041,Marié(e),Commercial,Senior Manager,0,21,20,15,0,2,2,4,Infra & Cloud,Occasionnel,1,12,3,3,5,3,4,3,3,Non,14.000000000000002,2216,0.75,3608.19,3.25,3,4,0,0,0,0,Senior Manager | N5,0.095,0.05
26,F,2886,Divorcé(e),Consulting,Assistant de Direction,1,3,3,2,2,3,23,3,Infra & Cloud,Occasionnel,0,2,1,3,1,4,2,1,4,Non,22.0,520,0.667,2885.97,2.0,1,4,1,0,0,0,Assistant de Direction | N1,0.75,0.0
30,M,2097,Marié(e),Consulting,Consultant,4,9,5,3,1,3,3,3,Infra & Cloud,Aucun,1,4,3,3,1,4,3,1,3,Non,15.0,274,0.6,2096.98,2.75,1,4,0,0,0,0,Consultant | N1,0.5,0.2
29,M,11935,Marié(e),Consulting,Directeur Technique,1,10,10,2,0,2,3,4,Transformation Digitale,Occasionnel,0,7,2,2,3,3,3,3,3,Non,18.0,1821,0.2,3978.32,2.75,2,3,1,0,0,0,Directeur Technique | N3,0.182,0.0
29,F,2546,Marié(e),Consulting,Assistant de Direction,5,6,2,2,0,2,25,5,Entrepreunariat,Occasionnel,1,1,3,2,1,2,2,4,3,Non,16.0,351,1.0,2545.97,2.75,2,4,1,0,1,1,Assistant de Direction | N1,0.667,0.5
19,M,2564,Célibataire,Ressources Humaines,Ressources Humaines,1,1,1,0,0,3,2,2,Entrepreunariat,Occasionnel,0,0,1,2,1,4,3,4,3,Non,12.0,275,0.0,2563.97,3.0,1,4,1,0,1,0,Ressources Humaines | N1,1.5,0.0
30,F,8412,Marié(e),Commercial,Cadre Commercial,0,10,9,8,0,3,22,4,Autre,Aucun,7,8,3,3,3,1,3,3,3,Non,11.0,834,0.889,2803.99,2.5,1,3,0,0,0,0,Cadre Commercial | N3,0.3,0.778
57,M,14118,Divorcé(e),Commercial,Senior Manager,3,32,1,0,1,3,29,3,Marketing,Occasionnel,0,0,1,2,4,4,3,2,3,Non,12.0,1513,0.0,3529.49,2.5,1,4,1,0,0,0,Senior Manager | N4,1.5,0.0
50,M,17046,Marié(e),Consulting,Senior Manager,0,28,27,10,1,2,29,4,Infra & Cloud,Occasionnel,15,7,2,2,4,3,2,3,3,Non,15.0,2223,0.37,4261.49,2.5,2,3,1,0,0,0,Senior Manager | N4,0.071,0.556
30,F,2564,Célibataire,Consulting,Consultant,0,12,11,7,0,2,2,3,Transformation Digitale,Aucun,6,7,3,3,1,4,3,2,3,Non,14.000000000000002,315,0.636,2563.97,3.0,2,4,0,0,0,0,Consultant | N1,0.167,0.545
60,F,10266,Marié(e),Commercial,Cadre Commercial,4,22,18,13,0,5,28,3,Marketing,Frequent,13,11,3,2,3,1,4,4,3,Non,19.0,1639,0.722,3421.99,3.0,1,4,1,0,0,0,Cadre Commercial | N3,0.263,0.722
47,F,5070,Divorcé(e),Consulting,Tech Lead,5,20,5,0,3,2,2,2,Transformation Digitale,Occasionnel,0,4,1,3,2,4,3,3,3,Non,13.0,583,0.0,2534.99,2.75,1,4,0,0,0,1,Tech Lead | N2,0.333,0.0
46,M,17861,Marié(e),Consulting,Directeur Technique,6,26,3,2,0,2,2,3,Infra & Cloud,Occasionnel,0,1,1,3,4,3,3,1,3,Non,13.0,2055,0.667,4465.24,2.0,1,3,0,0,0,1,Directeur Technique | N4,0.5,0.0
35,M,4230,Célibataire,Consulting,Consultant,0,6,5,4,0,2,22,3,Infra & Cloud,Occasionnel,4,3,4,1,1,3,3,3,3,Non,15.0,552,0.8,4229.96,3.25,3,4,2,0,0,0,Consultant | N1,0.333,0.8
54,F,3780,Célibataire,Consulting,Consultant,7,19,1,0,0,3,8,4,Infra & Cloud,Occasionnel,0,0,3,3,2,3,3,3,3,Non,11.0,375,0.0,1889.99,3.0,3,3,0,0,0,1,Consultant | N2,1.5,0.0
34,M,2768,Divorcé(e),Consulting,Assistant de Direction,3,14,7,3,1,3,2,4,Infra & Cloud,Occasionnel,5,7,4,2,1,3,3,3,3,Non,12.0,297,0.429,2767.97,3.25,3,4,1,0,0,0,Assistant de Direction | N1,0.375,0.714
46,F,9071,Marié(e),Commercial,Cadre Commercial,2,15,3,2,1,3,10,3,Marketing,Occasionnel,1,2,3,2,3,4,3,3,3,Oui,19.0,1448,0.667,3023.66,3.25,3,4,1,0,0,0,Cadre Commercial | N3,0.75,0.333
31,M,10648,Divorcé(e),Consulting,Tech Lead,1,13,13,8,1,6,9,1,Infra & Cloud,Occasionnel,0,8,3,3,3,2,4,4,4,Non,25.0,2130,0.615,3549.32,3.25,2,4,1,0,0,0,Tech Lead | N3,0.429,0.0
33,M,13610,Marié(e),Consulting,Senior Manager,7,15,7,6,0,2,15,1,Transformation Digitale,Occasionnel,7,7,2,3,3,3,4,4,3,Oui,12.0,1458,0.857,4536.65,3.25,2,4,0,0,0,1,Senior Manager | N3,0.25,1.0
33,M,3408,Divorcé(e),Consulting,Consultant,7,8,4,3,3,2,10,1,Transformation Digitale,Occasionnel,1,3,1,1,1,4,1,3,3,Non,13.0,392,0.75,3407.97,2.25,1,4,2,0,0,1,Consultant | N1,0.4,0.25
30,M,2983,Célibataire,Commercial,Représentant Commercial,0,4,3,2,0,3,7,1,Marketing,Occasionnel,1,2,4,3,1,2,1,3,3,Non,14.000000000000002,366,0.667,2982.97,2.5,1,4,0,0,0,0,Représentant Commercial | N1,0.75,0.333
35,M,7632,Marié(e),Consulting,Manager,4,10,8,7,0,2,16,3,Infra & Cloud,Occasionnel,0,0,4,3,3,3,3,3,3,Oui,12.0,818,0.875,2543.99,3.25,3,4,0,0,0,0,Manager | N3,0.222,0.0
31,M,9824,Marié(e),Consulting,Manager,3,12,1,0,0,2,20,3,Infra & Cloud,Frequent,0,0,1,3,3,3,1,3,3,Non,12.0,1053,0.0,3274.66,2.0,1,3,0,0,0,0,Manager | N3,1.0,0.0
34,F,9950,Divorcé(e),Ressources Humaines,Ressources Humaines,9,11,3,2,3,2,23,3,Ressources Humaines,Frequent,0,2,2,3,3,1,3,3,3,Oui,15.0,1298,0.667,3316.66,2.25,1,3,0,0,0,1,Ressources Humaines | N3,0.5,0.0
42,M,2093,Marié(e),Consulting,Consultant,4,8,2,2,1,4,5,2,Autre,Frequent,2,0,2,3,1,3,4,3,3,Non,17.0,304,1.0,2092.98,3.0,2,4,0,0,0,0,Consultant | N1,1.333,1.0
36,M,9980,Célibataire,Commercial,Cadre Commercial,1,10,10,3,0,3,10,4,Transformation Digitale,Aucun,9,7,2,3,3,4,4,2,3,Non,14.000000000000002,1226,0.3,3326.66,3.0,2,4,0,0,0,0,Cadre Commercial | N3,0.273,0.9
22,M,3894,Célibataire,Consulting,Consultant,5,4,2,2,0,3,4,1,Entrepreunariat,Frequent,1,2,3,2,1,3,3,3,3,Non,16.0,537,1.0,3893.96,3.0,3,3,1,0,1,1,Consultant | N1,1.0,0.5
48,F,4051,Marié(e),Commercial,Cadre Commercial,2,14,9,7,1,2,2,5,Marketing,Occasionnel,6,7,2,3,2,4,1,3,3,Non,14.000000000000002,497,0.778,2025.49,2.5,1,4,0,0,0,0,Cadre Commercial | N2,0.2,0.667
55,F,16835,Célibataire,Commercial,Senior Manager,3,37,10,9,0,2,18,5,Infra & Cloud,Occasionnel,7,7,1,3,4,2,4,3,4,Non,23.0,3148,0.9,4208.74,2.5,1,4,1,0,0,0,Senior Manager | N4,0.182,0.7
41,M,6230,Célibataire,Commercial,Cadre Commercial,7,16,14,3,0,3,10,2,Infra & Cloud,Aucun,1,10,4,3,2,4,4,3,3,Non,14.000000000000002,765,0.214,3114.98,3.75,3,4,0,0,0,1,Cadre Commercial | N2,0.2,0.071
35,M,4717,Marié(e),Commercial,Cadre Commercial,9,15,11,9,0,2,1,3,Marketing,Occasionnel,6,9,2,3,2,3,3,3,3,Non,11.0,467,0.818,2358.49,2.75,2,3,0,0,0,1,Cadre Commercial | N2,0.167,0.545
40,F,13237,Célibataire,Consulting,Tech Lead,7,22,20,6,0,3,6,3,Infra & Cloud,Occasionnel,5,13,2,3,4,3,3,3,3,Non,15.0,1727,0.3,3309.24,2.75,2,3,0,0,0,1,Tech Lead | N4,0.143,0.25
39,F,3755,Marié(e),Consulting,Consultant,1,8,8,3,1,3,8,1,Infra & Cloud,Frequent,0,7,3,3,1,3,1,3,3,Non,11.0,372,0.375,3754.96,2.5,1,3,0,0,0,0,Consultant | N1,0.333,0.0
31,M,6582,Célibataire,Commercial,Cadre Commercial,4,10,6,5,0,2,2,1,Infra & Cloud,Occasionnel,0,5,2,3,2,4,3,4,3,Oui,13.0,757,0.833,3290.98,3.25,2,4,0,0,0,0,Cadre Commercial | N2,0.286,0.0
42,M,7406,Marié(e),Consulting,Tech Lead,1,10,10,9,1,5,24,3,Transformation Digitale,Occasionnel,5,8,4,3,3,1,4,2,4,Oui,21.0,1285,0.9,2468.66,2.75,1,4,1,0,0,0,Tech Lead | N3,0.455,0.5
45,M,4805,Marié(e),Commercial,Cadre Commercial,0,9,8,7,1,3,2,3,Autre,Occasionnel,3,7,4,3,2,2,2,4,3,Non,19.0,767,0.875,2402.49,3.0,2,4,0,0,0,0,Cadre Commercial | N2,0.333,0.375
26,F,2741,Divorcé(e),Ressources Humaines,Ressources Humaines,0,8,7,7,1,2,17,4,Infra & Cloud,Frequent,1,0,2,3,1,3,2,2,3,Oui,11.0,272,1.0,2740.97,2.25,2,3,0,1,0,0,Ressources Humaines | N1,0.25,0.143
29,M,4262,Divorcé(e),Consulting,Tech Lead,4,8,3,2,2,2,19,3,Entrepreunariat,Occasionnel,1,2,4,3,2,4,2,4,3,Non,12.0,457,0.667,2130.99,3.5,2,4,0,0,0,0,Tech Lead | N2,0.5,0.333
33,F,16184,Divorcé(e),Consulting,Directeur Technique,4,10,6,1,1,2,1,5,Transformation Digitale,Occasionnel,0,5,1,4,4,3,3,3,3,Non,19.0,2584,0.167,4045.99,2.5,1,3,-1,0,0,0,Directeur Technique | N4,0.286,0.0
31,M,11557,Divorcé(e),Commercial,Senior Manager,9,10,5,4,1,3,7,3,Infra & Cloud,Occasionnel,0,1,3,2,3,4,3,2,4,Non,21.0,2006,0.8,3852.32,3.0,2,4,2,0,0,1,Senior Manager | N3,0.5,0.0
18,M,1878,Célibataire,Commercial,Représentant Commercial,1,0,0,0,0,3,5,3,Marketing,Frequent,0,0,2,3,1,2,4,3,3,Oui,14.000000000000002,231,0.0,1877.98,2.75,2,4,0,1,1,0,Représentant Commercial | N1,3.0,0.0
40,M,10932,Divorcé(e),Commercial,Cadre Commercial,3,20,1,0,1,2,28,3,Autre,Aucun,0,1,3,1,3,1,3,3,3,Non,15.0,1426,0.0,3643.99,2.5,1,3,2,0,0,0,Cadre Commercial | N3,1.0,0.0
41,F,6811,Célibataire,Consulting,Manager,2,10,8,7,0,3,2,4,Autre,Aucun,0,7,1,2,2,3,1,3,3,Oui,17.0,990,0.875,3405.48,2.0,1,3,1,0,0,0,Manager | N2,0.333,0.0
26,M,4306,Divorcé(e),Commercial,Cadre Commercial,5,8,0,0,2,5,29,2,Transformation Digitale,Occasionnel,0,0,1,3,2,3,1,3,3,Non,12.0,461,0.0,2152.99,2.0,1,3,0,0,1,1,Cadre Commercial | N2,5.0,0.0
35,F,4859,Célibataire,Commercial,Cadre Commercial,1,5,5,4,0,3,1,3,Transformation Digitale,Occasionnel,0,3,1,3,2,3,4,3,3,Non,16.0,670,0.8,2429.49,2.75,1,4,0,0,0,0,Cadre Commercial | N2,0.5,0.0
34,M,5337,Célibataire,Commercial,Cadre Commercial,1,10,10,7,0,3,21,4,Infra & Cloud,Occasionnel,5,7,4,4,2,4,4,3,3,Non,12.0,572,0.7,2668.49,3.75,3,4,-1,0,0,0,Cadre Commercial | N2,0.273,0.5
26,M,2340,Célibataire,Consulting,Consultant,1,1,1,0,0,3,24,3,Entrepreunariat,Occasionnel,0,0,3,1,1,4,2,1,3,Oui,18.0,357,0.0,2339.98,2.5,1,4,2,1,1,0,Consultant | N1,1.5,0.0
37,F,7491,Célibataire,Consulting,Tech Lead,4,12,6,5,0,3,1,3,Entrepreunariat,Occasionnel,1,2,2,3,3,4,4,4,3,Non,17.0,1088,0.833,2496.99,3.5,2,4,0,0,0,0,Tech Lead | N3,0.429,0.167
46,F,10527,Marié(e),Consulting,Manager,5,28,2,2,0,3,18,1,Transformation Digitale,Frequent,1,2,1,3,3,3,4,2,3,Non,11.0,1043,1.0,3508.99,2.5,1,4,0,0,0,1,Manager | N3,1.0,0.5
41,F,16595,Marié(e),Commercial,Senior Manager,7,22,18,16,1,2,2,5,Infra & Cloud,Occasionnel,11,8,2,3,4,1,2,3,3,Non,16.0,2289,0.889,4148.74,2.0,1,3,0,0,0,1,Senior Manager | N4,0.105,0.611
37,M,8834,Divorcé(e),Commercial,Cadre Commercial,1,9,9,5,1,6,9,4,Transformation Digitale,Aucun,7,7,1,3,3,2,4,3,3,Non,13.0,1016,0.556,2944.66,2.5,1,4,0,0,0,0,Cadre Commercial | N3,0.6,0.778
52,M,5577,Divorcé(e),Consulting,Assistant de Direction,3,18,10,9,2,3,6,2,Entrepreunariat,Occasionnel,6,9,4,3,2,1,2,3,3,Oui,12.0,598,0.9,2788.49,2.5,1,4,0,0,0,0,Assistant de Direction | N2,0.273,0.6
32,M,4707,Marié(e),Commercial,Cadre Commercial,8,6,4,2,0,2,11,4,Autre,Aucun,1,2,4,4,2,3,4,3,3,Non,12.0,504,0.5,2353.49,3.5,3,4,-1,0,0,1,Cadre Commercial | N2,0.4,0.25
24,M,2400,Marié(e),Commercial,Représentant Commercial,0,3,2,2,2,3,24,3,Transformation Digitale,Frequent,2,1,4,3,1,4,3,3,3,Non,13.0,276,1.0,2399.98,3.5,3,4,0,0,1,0,Représentant Commercial | N1,1.0,1.0
38,F,9824,Marié(e),Consulting,Manager,3,18,1,0,1,4,10,3,Transformation Digitale,Occasionnel,0,0,3,3,2,3,3,3,3,Non,19.0,1569,0.0,4911.98,3.0,3,3,0,0,0,0,Manager | N2,2.0,0.0
37,F,6447,Marié(e),Consulting,Tech Lead,6,8,6,5,1,2,1,4,Infra & Cloud,Occasionnel,4,3,2,3,2,2,2,2,3,Non,12.0,691,0.833,3223.48,2.0,2,2,0,0,0,1,Tech Lead | N2,0.286,0.667
49,M,19502,Divorcé(e),Consulting,Directeur Technique,1,31,31,9,1,5,18,4,Infra & Cloud,Occasionnel,0,9,4,2,5,3,3,3,3,Oui,17.0,2834,0.29,3900.39,3.25,3,4,1,0,0,0,Directeur Technique | N5,0.156,0.0
24,M,2725,Marié(e),Consulting,Assistant de Direction,1,6,6,5,2,3,23,3,Transformation Digitale,Occasionnel,1,4,2,4,1,4,2,3,3,Oui,11.0,270,0.833,2724.97,2.75,2,4,-1,1,0,0,Assistant de Direction | N1,0.429,0.167
26,M,6272,Marié(e),Commercial,Cadre Commercial,1,6,5,3,2,5,28,2,Marketing,Occasionnel,1,4,1,3,2,2,4,4,4,Non,20.0,1045,0.6,3135.98,2.75,1,4,1,0,0,0,Cadre Commercial | N2,0.833,0.2
24,M,2127,Marié(e),Consulting,Consultant,1,1,1,0,1,2,17,2,Autre,Occasionnel,0,0,4,2,1,2,4,3,4,Non,21.0,369,0.0,2126.98,3.25,2,4,2,0,1,0,Consultant | N1,1.0,0.0
50,M,18200,Marié(e),Ressources Humaines,Senior Manager,1,32,32,5,1,2,3,3,Transformation Digitale,Frequent,10,7,1,3,5,2,3,3,3,Non,11.0,1804,0.156,3639.99,2.25,1,3,0,0,0,0,Senior Manager | N5,0.061,0.312
25,M,2096,Marié(e),Commercial,Représentant Commercial,1,7,7,4,0,1,13,1,Transformation Digitale,Occasionnel,0,6,2,3,1,3,3,3,3,Non,11.0,208,0.571,2095.98,2.75,2,3,0,0,0,0,Représentant Commercial | N1,0.125,0.0
24,F,2886,Marié(e),Consulting,Consultant,1,6,6,3,1,4,7,3,Infra & Cloud,Frequent,1,2,1,3,1,3,4,3,3,Oui,16.0,398,0.5,2885.97,2.75,1,4,0,1,0,0,Consultant | N1,0.571,0.167
30,M,2033,Marié(e),Commercial,Représentant Commercial,1,1,1,0,1,2,12,4,Infra & Cloud,Frequent,0,0,2,2,1,1,3,4,3,Non,18.0,310,0.0,2032.98,2.5,1,4,1,0,1,0,Représentant Commercial | N1,1.0,0.0
34,M,3622,Marié(e),Consulting,Assistant de Direction,1,6,6,5,1,3,1,2,Infra & Cloud,Occasionnel,1,3,2,2,1,4,4,3,3,Oui,13.0,417,0.833,3621.96,3.25,2,4,1,1,0,0,Assistant de Direction | N1,0.429,0.167
31,M,4233,Divorcé(e),Commercial,Cadre Commercial,2,9,3,1,0,2,13,4,Transformation Digitale,Occasionnel,1,2,2,3,2,1,3,1,3,Non,17.0,615,0.333,2116.49,1.75,1,3,0,0,0,0,Cadre Commercial | N2,0.5,0.333
35,M,3681,Célibataire,Consulting,Consultant,4,9,3,2,0,3,25,2,Autre,Occasionnel,0,2,1,2,2,4,4,3,3,Non,14.000000000000002,452,0.667,1840.49,3.0,1,4,1,0,0,0,Consultant | N2,0.75,0.0
31,M,5460,Divorcé(e),Commercial,Cadre Commercial,4,13,7,7,2,4,6,4,Transformation Digitale,Occasionnel,5,7,1,4,2,4,4,4,4,Non,22.0,985,1.0,2729.99,3.25,1,4,0,0,0,0,Cadre Commercial | N2,0.5,0.714
27,F,2187,Divorcé(e),Consulting,Assistant de Direction,0,6,5,3,2,5,6,4,Transformation Digitale,Occasionnel,0,3,1,2,1,3,3,2,3,Non,12.0,234,0.6,2186.98,2.25,1,3,1,0,0,0,Assistant de Direction | N1,0.833,0.0
37,M,9602,Marié(e),Commercial,Cadre Commercial,4,17,3,0,1,3,2,3,Marketing,Occasionnel,1,0,4,3,2,3,3,2,3,Oui,11.0,952,0.0,4800.98,3.0,2,4,0,0,0,0,Cadre Commercial | N2,0.75,0.333
20,F,2836,Célibataire,Consulting,Assistant de Direction,1,1,1,0,0,0,1,3,Infra & Cloud,Occasionnel,0,0,4,2,1,2,4,4,3,Non,13.0,326,0.0,2835.97,3.5,2,4,1,0,1,0,Assistant de Direction | N1,0.0,0.0
42,F,4089,Marié(e),Consulting,Manager,1,10,10,2,2,4,2,4,Infra & Cloud,Occasionnel,2,2,3,3,2,4,2,3,3,Non,13.0,470,0.2,2044.49,3.0,2,4,0,0,0,0,Manager | N2,0.364,0.2
43,M,16627,Divorcé(e),Consulting,Directeur Technique,4,21,1,0,1,3,6,4,Autre,Occasionnel,0,0,2,2,4,4,3,2,3,Oui,14.000000000000002,2042,0.0,4156.74,2.75,2,4,1,0,0,0,Directeur Technique | N4,1.5,0.0
