age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,montant_augmentation_precedente,ratio_anciennete_carriere,inertie_poste,stagnation_promotion,revenu_par_annee_experience,revenu_par_niveau,satisfaction_globale,satisfaction_min,delta_performance,hs_et_salaire_bas,jeune_faible_anciennete,trajet_long,job_hopper
43,M,14336,Divorcé(e),Consulting,Directeur Technique,1,25,25,10,1,3,12,3,Infra & Cloud,Occasionnel,3,9,1,2,4,2,3,3,3,Non,11.0,1421,1.0,0.4,0.12,551.38,3583.99,2.25,1,1,0,0,0,0
40,F,3448,Marié(e),Consulting,Consultant,6,20,1,0,1,3,2,3,Transformation Digitale,Occasionnel,0,0,2,2,2,3,2,3,4,Non,22.0,622,0.05,0.0,0.0,164.19,1723.99,2.5,2,2,0,0,0,1
54,M,19406,Marié(e),Consulting,Directeur Technique,4,24,4,2,1,4,5,2,Transformation Digitale,Occasionnel,1,2,1,3,5,1,3,2,3,Non,11.0,1923,0.167,0.5,0.25,776.24,3881.19,1.75,1,0,0,0,0,0
34,F,6538,Marié(e),Commercial,Cadre Commercial,9,6,3,2,1,3,4,4,Marketing,Aucun,1,2,3,3,2,3,1,3,3,Non,15.0,853,0.5,0.667,0.333,934.0,3268.98,2.5,1,0,0,0,0,1
31,F,4306,Marié(e),Consulting,Tech Lead,1,13,13,10,1,5,7,2,Transformation Digitale,Occasionnel,3,12,2,3,2,1,2,1,3,Non,12.0,461,1.0,0.769,0.231,307.57,2152.99,1.5,1,0,0,0,0,0
43,M,2258,Marié(e),Consulting,Consultant,7,8,3,2,1,1,21,3,Transformation Digitale,Frequent,1,2,4,3,1,4,1,3,4,Non,20.0,376,0.375,0.667,0.333,250.89,2257.98,3.0,1,1,0,0,1,1
43,F,4522,Divorcé(e),Consulting,Manager,4,8,5,2,0,3,8,4,Autre,Occasionnel,0,2,3,3,2,3,4,3,3,Oui,14.000000000000002,555,0.625,0.4,0.0,502.44,2260.99,3.25,3,0,1,0,0,0
25,F,4487,Célibataire,Commercial,Cadre Commercial,1,5,5,4,0,3,4,2,Infra & Cloud,Occasionnel,1,3,2,2,2,4,2,3,3,Oui,11.0,445,1.0,0.8,0.2,747.83,2243.49,2.75,2,1,1,0,0,0
37,F,4449,Marié(e),Consulting,Assistant de Direction,3,15,13,11,2,2,25,5,Transformation Digitale,Aucun,10,7,2,3,2,3,1,3,3,Oui,15.0,580,0.867,0.846,0.769,278.06,2224.49,2.25,1,0,1,0,1,0
31,M,2218,Marié(e),Consulting,Consultant,1,4,4,2,1,3,1,2,Infra & Cloud,Occasionnel,3,2,4,2,1,1,3,3,3,Non,12.0,238,1.0,0.5,0.75,443.6,2217.98,2.75,1,1,0,0,0,0
39,M,19197,Divorcé(e),Consulting,Senior Manager,1,21,21,8,1,3,1,1,Infra & Cloud,Frequent,1,6,2,3,5,3,3,3,3,Oui,14.000000000000002,2358,1.0,0.381,0.048,872.59,3839.39,2.75,2,0,0,0,0,0
56,F,13212,Marié(e),Commercial,Cadre Commercial,9,36,7,7,3,0,6,3,Infra & Cloud,Frequent,7,7,3,4,4,1,4,2,3,Non,11.0,1309,0.194,1.0,1.0,357.08,3302.99,2.5,1,-1,0,0,0,1
30,F,6577,Célibataire,Commercial,Cadre Commercial,0,6,5,4,0,6,12,3,Entrepreunariat,Occasionnel,4,4,2,3,2,3,2,3,3,Non,11.0,652,0.833,0.8,0.8,939.57,3288.48,2.5,2,0,0,0,0,0
41,M,8392,Marié(e),Commercial,Cadre Commercial,1,10,10,7,1,2,1,3,Marketing,Occasionnel,0,7,2,4,3,1,3,3,3,Non,16.0,1158,1.0,0.7,0.0,762.91,2797.32,2.25,1,-1,0,0,0,0
28,M,4558,Divorcé(e),Consulting,Consultant,1,10,10,0,1,2,17,2,Transformation Digitale,Occasionnel,1,8,3,3,2,1,4,3,3,Non,12.0,488,1.0,0.0,0.1,414.36,2278.99,2.75,1,0,0,0,1,0
25,M,4031,Marié(e),Consulting,Consultant,5,6,2,2,1,5,3,3,Transformation Digitale,Occasionnel,0,2,1,3,1,1,3,3,3,Non,13.0,464,0.333,1.0,0.0,575.86,4030.96,2.0,1,0,0,1,0,1
52,M,7969,Marié(e),Consulting,Tech Lead,2,28,5,4,0,4,3,3,Transformation Digitale,Occasionnel,0,4,4,2,3,3,3,3,3,Oui,14.000000000000002,979,0.179,0.8,0.0,274.79,2656.32,3.25,3,1,0,0,0,0
45,M,2654,Marié(e),Consulting,Assistant de Direction,3,8,2,2,2,3,10,2,Infra & Cloud,Occasionnel,0,2,1,3,1,4,4,2,4,Non,21.0,461,0.25,1.0,0.0,294.89,2653.97,2.75,1,1,0,0,0,0
52,F,16555,Marié(e),Consulting,Senior Manager,2,31,5,2,0,2,4,2,Infra & Cloud,Occasionnel,1,4,4,3,4,4,4,1,3,Non,13.0,1905,0.161,0.4,0.2,517.34,4138.74,3.25,1,0,0,0,0,0
42,F,4556,Divorcé(e),Consulting,Assistant de Direction,2,19,5,4,1,3,29,2,Infra & Cloud,Frequent,0,2,1,3,2,3,2,3,3,Non,11.0,451,0.263,0.8,0.0,227.8,2277.99,2.25,1,0,0,0,1,0
30,F,6091,Célibataire,Consulting,Tech Lead,2,11,5,4,0,2,2,3,Infra & Cloud,Occasionnel,0,2,3,1,2,4,3,3,4,Non,20.0,1015,0.455,0.8,0.0,507.58,3045.48,3.25,3,3,0,0,0,0
60,F,19566,Marié(e),Consulting,Senior Manager,5,33,29,8,0,5,7,3,Infra & Cloud,Occasionnel,11,10,1,3,5,1,4,1,3,Non,11.0,1939,0.879,0.276,0.379,575.47,3913.19,1.75,1,0,0,0,0,1
46,F,4810,Divorcé(e),Consulting,Tech Lead,2,19,10,7,1,5,18,3,Transformation Digitale,Occasionnel,0,8,3,3,2,3,3,2,3,Non,14.000000000000002,591,0.526,0.7,0.0,240.5,2404.99,2.75,2,0,0,0,1,0
42,F,4523,Marié(e),Consulting,Manager,0,7,6,5,3,4,28,4,Entrepreunariat,Frequent,0,4,4,2,2,4,4,4,3,Non,11.0,448,0.857,0.833,0.0,565.38,2261.49,4.0,4,1,0,0,1,0
24,F,3202,Célibataire,Commercial,Représentant Commercial,1,6,5,3,0,4,1,1,Entrepreunariat,Occasionnel,1,4,1,3,1,2,2,3,3,Oui,16.0,442,0.833,0.6,0.2,457.43,3201.97,2.0,1,0,1,0,0,0
34,F,2351,Divorcé(e),Commercial,Représentant Commercial,0,3,2,2,1,3,6,2,Marketing,Frequent,1,0,4,1,1,3,4,2,3,Non,16.0,324,0.667,1.0,0.5,587.75,2350.98,3.25,2,2,0,0,0,0
38,M,1702,Marié(e),Consulting,Consultant,1,1,1,0,1,3,2,2,Infra & Cloud,Frequent,0,0,4,3,1,4,3,3,4,Oui,23.0,318,1.0,0.0,0.0,851.0,1701.98,3.5,3,1,1,0,0,0
40,F,18041,Marié(e),Commercial,Senior Manager,0,21,20,15,0,2,2,4,Infra & Cloud,Occasionnel,1,12,3,3,5,3,4,3,3,Non,14.000000000000002,2216,0.952,0.75,0.05,820.05,3608.19,3.25,3,0,0,0,0,0
26,F,2886,Divorcé(e),Consulting,Assistant de Direction,1,3,3,2,2,3,23,3,Infra & Cloud,Occasionnel,0,2,1,3,1,4,2,1,4,Non,22.0,520,1.0,0.667,0.0,721.5,2885.97,2.0,1,1,0,0,1,0
30,M,2097,Marié(e),Consulting,Consultant,4,9,5,3,1,3,3,3,Infra & Cloud,Aucun,1,4,3,3,1,4,3,1,3,Non,15.0,274,0.556,0.6,0.2,209.7,2096.98,2.75,1,0,0,0,0,0
29,M,11935,Marié(e),Consulting,Directeur Technique,1,10,10,2,0,2,3,4,Transformation Digitale,Occasionnel,0,7,2,2,3,3,3,3,3,Non,18.0,1821,1.0,0.2,0.0,1085.0,3978.32,2.75,2,1,0,0,0,0
29,F,2546,Marié(e),Consulting,Assistant de Direction,5,6,2,2,0,2,25,5,Entrepreunariat,Occasionnel,1,1,3,2,1,2,2,4,3,Non,16.0,351,0.333,1.0,0.5,363.71,2545.97,2.75,2,1,0,1,1,1
19,M,2564,Célibataire,Ressources Humaines,Ressources Humaines,1,1,1,0,0,3,2,2,Entrepreunariat,Occasionnel,0,0,1,2,1,4,3,4,3,Non,12.0,275,1.0,0.0,0.0,1282.0,2563.97,3.0,1,1,0,1,0,0
30,F,8412,Marié(e),Commercial,Cadre Commercial,0,10,9,8,0,3,22,4,Autre,Aucun,7,8,3,3,3,1,3,3,3,Non,11.0,834,0.9,0.889,0.778,764.73,2803.99,2.5,1,0,0,0,1,0
57,M,14118,Divorcé(e),Commercial,Senior Manager,3,32,1,0,1,3,29,3,Marketing,Occasionnel,0,0,1,2,4,4,3,2,3,Non,12.0,1513,0.031,0.0,0.0,427.82,3529.49,2.5,1,1,0,0,1,0
50,M,17046,Marié(e),Consulting,Senior Manager,0,28,27,10,1,2,29,4,Infra & Cloud,Occasionnel,15,7,2,2,4,3,2,3,3,Non,15.0,2223,0.964,0.37,0.556,587.79,4261.49,2.5,2,1,0,0,1,0
30,F,2564,Célibataire,Consulting,Consultant,0,12,11,7,0,2,2,3,Transformation Digitale,Aucun,6,7,3,3,1,4,3,2,3,Non,14.000000000000002,315,0.917,0.636,0.545,197.23,2563.97,3.0,2,0,0,0,0,0
60,F,10266,Marié(e),Commercial,Cadre Commercial,4,22,18,13,0,5,28,3,Marketing,Frequent,13,11,3,2,3,1,4,4,3,Non,19.0,1639,0.818,0.722,0.722,446.35,3421.99,3.0,1,1,0,0,1,0
47,F,5070,Divorcé(e),Consulting,Tech Lead,5,20,5,0,3,2,2,2,Transformation Digitale,Occasionnel,0,4,1,3,2,4,3,3,3,Non,13.0,583,0.25,0.0,0.0,241.43,2534.99,2.75,1,0,0,0,0,1
46,M,17861,Marié(e),Consulting,Directeur Technique,6,26,3,2,0,2,2,3,Infra & Cloud,Occasionnel,0,1,1,3,4,3,3,1,3,Non,13.0,2055,0.115,0.667,0.0,661.52,4465.24,2.0,1,0,0,0,0,1
35,M,4230,Célibataire,Consulting,Consultant,0,6,5,4,0,2,22,3,Infra & Cloud,Occasionnel,4,3,4,1,1,3,3,3,3,Non,15.0,552,0.833,0.8,0.8,604.29,4229.96,3.25,3,2,0,0,1,0
54,F,3780,Célibataire,Consulting,Consultant,7,19,1,0,0,3,8,4,Infra & Cloud,Occasionnel,0,0,3,3,2,3,3,3,3,Non,11.0,375,0.053,0.0,0.0,189.0,1889.99,3.0,3,0,0,0,0,1
34,M,2768,Divorcé(e),Consulting,Assistant de Direction,3,14,7,3,1,3,2,4,Infra & Cloud,Occasionnel,5,7,4,2,1,3,3,3,3,Non,12.0,297,0.5,0.429,0.714,184.53,2767.97,3.25,3,1,0,0,0,0
46,F,9071,Marié(e),Commercial,Cadre Commercial,2,15,3,2,1,3,10,3,Marketing,Occasionnel,1,2,3,2,3,4,3,3,3,Oui,19.0,1448,0.2,0.667,0.333,566.94,3023.66,3.25,3,1,0,0,0,0
31,M,10648,Divorcé(e),Consulting,Tech Lead,1,13,13,8,1,6,9,1,Infra & Cloud,Occasionnel,0,8,3,3,3,2,4,4,4,Non,25.0,2130,1.0,0.615,0.0,760.57,3549.32,3.25,2,1,0,0,0,0
33,M,13610,Marié(e),Consulting,Senior Manager,7,15,7,6,0,2,15,1,Transformation Digitale,Occasionnel,7,7,2,3,3,3,4,4,3,Oui,12.0,1458,0.467,0.857,1.0,850.62,4536.65,3.25,2,0,0,0,1,1
33,M,3408,Divorcé(e),Consulting,Consultant,7,8,4,3,3,2,10,1,Transformation Digitale,Occasionnel,1,3,1,1,1,4,1,3,3,Non,13.0,392,0.5,0.75,0.25,378.67,3407.97,2.25,1,2,0,0,0,1
30,M,2983,Célibataire,Commercial,Représentant Commercial,0,4,3,2,0,3,7,1,Marketing,Occasionnel,1,2,4,3,1,2,1,3,3,Non,14.000000000000002,366,0.75,0.667,0.333,596.6,2982.97,2.5,1,0,0,0,0,0
35,M,7632,Marié(e),Consulting,Manager,4,10,8,7,0,2,16,3,Infra & Cloud,Occasionnel,0,0,4,3,3,3,3,3,3,Oui,12.0,818,0.8,0.875,0.0,693.82,2543.99,3.25,3,0,0,0,1,0
31,M,9824,Marié(e),Consulting,Manager,3,12,1,0,0,2,20,3,Infra & Cloud,Frequent,0,0,1,3,3,3,1,3,3,Non,12.0,1053,0.083,0.0,0.0,755.69,3274.66,2.0,1,0,0,0,1,0
34,F,9950,Divorcé(e),Ressources Humaines,Ressources Humaines,9,11,3,2,3,2,23,3,Ressources Humaines,Frequent,0,2,2,3,3,1,3,3,3,Oui,15.0,1298,0.273,0.667,0.0,829.17,3316.66,2.25,1,0,0,0,1,1
42,M,2093,Marié(e),Consulting,Consultant,4,8,2,2,1,4,5,2,Autre,Frequent,2,0,2,3,1,3,4,3,3,Non,17.0,304,0.25,1.0,1.0,232.56,2092.98,3.0,2,0,0,0,0,0
36,M,9980,Célibataire,Commercial,Cadre Commercial,1,10,10,3,0,3,10,4,Transformation Digitale,Aucun,9,7,2,3,3,4,4,2,3,Non,14.000000000000002,1226,1.0,0.3,0.9,907.27,3326.66,3.0,2,0,0,0,0,0
22,M,3894,Célibataire,Consulting,Consultant,5,4,2,2,0,3,4,1,Entrepreunariat,Frequent,1,2,3,2,1,3,3,3,3,Non,16.0,537,0.5,1.0,0.5,778.8,3893.96,3.0,3,1,0,1,0,1
48,F,4051,Marié(e),Commercial,Cadre Commercial,2,14,9,7,1,2,2,5,Marketing,Occasionnel,6,7,2,3,2,4,1,3,3,Non,14.000000000000002,497,0.643,0.778,0.667,270.07,2025.49,2.5,1,0,0,0,0,0
55,F,16835,Célibataire,Commercial,Senior Manager,3,37,10,9,0,2,18,5,Infra & Cloud,Occasionnel,7,7,1,3,4,2,4,3,4,Non,23.0,3148,0.27,0.9,0.7,443.03,4208.74,2.5,1,1,0,0,1,0
41,M,6230,Célibataire,Commercial,Cadre Commercial,7,16,14,3,0,3,10,2,Infra & Cloud,Aucun,1,10,4,3,2,4,4,3,3,Non,14.000000000000002,765,0.875,0.214,0.071,366.47,3114.98,3.75,3,0,0,0,0,1
35,M,4717,Marié(e),Commercial,Cadre Commercial,9,15,11,9,0,2,1,3,Marketing,Occasionnel,6,9,2,3,2,3,3,3,3,Non,11.0,467,0.733,0.818,0.545,294.81,2358.49,2.75,2,0,0,0,0,1
40,F,13237,Célibataire,Consulting,Tech Lead,7,22,20,6,0,3,6,3,Infra & Cloud,Occasionnel,5,13,2,3,4,3,3,3,3,Non,15.0,1727,0.909,0.3,0.25,575.52,3309.24,2.75,2,0,0,0,0,1
39,F,3755,Marié(e),Consulting,Consultant,1,8,8,3,1,3,8,1,Infra & Cloud,Frequent,0,7,3,3,1,3,1,3,3,Non,11.0,372,1.0,0.375,0.0,417.22,3754.96,2.5,1,0,0,0,0,0
31,M,6582,Célibataire,Commercial,Cadre Commercial,4,10,6,5,0,2,2,1,Infra & Cloud,Occasionnel,0,5,2,3,2,4,3,4,3,Oui,13.0,757,0.6,0.833,0.0,598.36,3290.98,3.25,2,0,0,0,0,0
42,M,7406,Marié(e),Consulting,Tech Lead,1,10,10,9,1,5,24,3,Transformation Digitale,Occasionnel,5,8,4,3,3,1,4,2,4,Oui,21.0,1285,1.0,0.9,0.5,673.27,2468.66,2.75,1,1,0,0,1,0
45,M,4805,Marié(e),Commercial,Cadre Commercial,0,9,8,7,1,3,2,3,Autre,Occasionnel,3,7,4,3,2,2,2,4,3,Non,19.0,767,0.889,0.875,0.375,480.5,2402.49,3.0,2,0,0,0,0,0
26,F,2741,Divorcé(e),Ressources Humaines,Ressources Humaines,0,8,7,7,1,2,17,4,Infra & Cloud,Frequent,1,0,2,3,1,3,2,2,3,Oui,11.0,272,0.875,1.0,0.143,304.56,2740.97,2.25,2,0,1,0,1,0
29,M,4262,Divorcé(e),Consulting,Tech Lead,4,8,3,2,2,2,19,3,Entrepreunariat,Occasionnel,1,2,4,3,2,4,2,4,3,Non,12.0,457,0.375,0.667,0.333,473.56,2130.99,3.5,2,0,0,0,1,0
33,F,16184,Divorcé(e),Consulting,Directeur Technique,4,10,6,1,1,2,1,5,Transformation Digitale,Occasionnel,0,5,1,4,4,3,3,3,3,Non,19.0,2584,0.6,0.167,0.0,1471.27,4045.99,2.5,1,-1,0,0,0,0
31,M,11557,Divorcé(e),Commercial,Senior Manager,9,10,5,4,1,3,7,3,Infra & Cloud,Occasionnel,0,1,3,2,3,4,3,2,4,Non,21.0,2006,0.5,0.8,0.0,1050.64,3852.32,3.0,2,2,0,0,0,1
18,M,1878,Célibataire,Commercial,Représentant Commercial,1,0,0,0,0,3,5,3,Marketing,Frequent,0,0,2,3,1,2,4,3,3,Oui,14.000000000000002,231,0.0,0.0,0.0,1878.0,1877.98,2.75,2,0,1,1,0,0
40,M,10932,Divorcé(e),Commercial,Cadre Commercial,3,20,1,0,1,2,28,3,Autre,Aucun,0,1,3,1,3,1,3,3,3,Non,15.0,1426,0.05,0.0,0.0,520.57,3643.99,2.5,1,2,0,0,1,0
41,F,6811,Célibataire,Consulting,Manager,2,10,8,7,0,3,2,4,Autre,Aucun,0,7,1,2,2,3,1,3,3,Oui,17.0,990,0.8,0.875,0.0,619.18,3405.48,2.0,1,1,0,0,0,0
26,M,4306,Divorcé(e),Commercial,Cadre Commercial,5,8,0,0,2,5,29,2,Transformation Digitale,Occasionnel,0,0,1,3,2,3,1,3,3,Non,12.0,461,0.0,0.0,0.0,478.44,2152.99,2.0,1,0,0,1,1,1
35,F,4859,Célibataire,Commercial,Cadre Commercial,1,5,5,4,0,3,1,3,Transformation Digitale,Occasionnel,0,3,1,3,2,3,4,3,3,Non,16.0,670,1.0,0.8,0.0,809.83,2429.49,2.75,1,0,0,0,0,0
34,M,5337,Célibataire,Commercial,Cadre Commercial,1,10,10,7,0,3,21,4,Infra & Cloud,Occasionnel,5,7,4,4,2,4,4,3,3,Non,12.0,572,1.0,0.7,0.5,485.18,2668.49,3.75,3,-1,0,0,1,0
26,M,2340,Célibataire,Consulting,Consultant,1,1,1,0,0,3,24,3,Entrepreunariat,Occasionnel,0,0,3,1,1,4,2,1,3,Oui,18.0,357,1.0,0.0,0.0,1170.0,2339.98,2.5,1,2,1,1,1,0
37,F,7491,Célibataire,Consulting,Tech Lead,4,12,6,5,0,3,1,3,Entrepreunariat,Occasionnel,1,2,2,3,3,4,4,4,3,Non,17.0,1088,0.5,0.833,0.167,576.23,2496.99,3.5,2,0,0,0,0,0
46,F,10527,Marié(e),Consulting,Manager,5,28,2,2,0,3,18,1,Transformation Digitale,Frequent,1,2,1,3,3,3,4,2,3,Non,11.0,1043,0.071,1.0,0.5,363.0,3508.99,2.5,1,0,0,0,1,1
41,F,16595,Marié(e),Commercial,Senior Manager,7,22,18,16,1,2,2,5,Infra & Cloud,Occasionnel,11,8,2,3,4,1,2,3,3,Non,16.0,2289,0.818,0.889,0.611,721.52,4148.74,2.0,1,0,0,0,0,1
37,M,8834,Divorcé(e),Commercial,Cadre Commercial,1,9,9,5,1,6,9,4,Transformation Digitale,Aucun,7,7,1,3,3,2,4,3,3,Non,13.0,1016,1.0,0.556,0.778,883.4,2944.66,2.5,1,0,0,0,0,0
52,M,5577,Divorcé(e),Consulting,Assistant de Direction,3,18,10,9,2,3,6,2,Entrepreunariat,Occasionnel,6,9,4,3,2,1,2,3,3,Oui,12.0,598,0.556,0.9,0.6,293.53,2788.49,2.5,1,0,0,0,0,0
32,M,4707,Marié(e),Commercial,Cadre Commercial,8,6,4,2,0,2,11,4,Autre,Aucun,1,2,4,4,2,3,4,3,3,Non,12.0,504,0.667,0.5,0.25,672.43,2353.49,3.5,3,-1,0,0,0,1
24,M,2400,Marié(e),Commercial,Représentant Commercial,0,3,2,2,2,3,24,3,Transformation Digitale,Frequent,2,1,4,3,1,4,3,3,3,Non,13.0,276,0.667,1.0,1.0,600.0,2399.98,3.5,3,0,0,1,1,0
38,F,9824,Marié(e),Consulting,Manager,3,18,1,0,1,4,10,3,Transformation Digitale,Occasionnel,0,0,3,3,2,3,3,3,3,Non,19.0,1569,0.056,0.0,0.0,517.05,4911.98,3.0,3,0,0,0,0,0
37,F,6447,Marié(e),Consulting,Tech Lead,6,8,6,5,1,2,1,4,Infra & Cloud,Occasionnel,4,3,2,3,2,2,2,2,3,Non,12.0,691,0.75,0.833,0.667,716.33,3223.48,2.0,2,0,0,0,0,1
49,M,19502,Divorcé(e),Consulting,Directeur Technique,1,31,31,9,1,5,18,4,Infra & Cloud,Occasionnel,0,9,4,2,5,3,3,3,3,Oui,17.0,2834,1.0,0.29,0.0,609.44,3900.39,3.25,3,1,0,0,1,0
24,M,2725,Marié(e),Consulting,Assistant de Direction,1,6,6,5,2,3,23,3,Transformation Digitale,Occasionnel,1,4,2,4,1,4,2,3,3,Oui,11.0,270,1.0,0.833,0.167,389.29,2724.97,2.75,2,-1,1,0,1,0
26,M,6272,Marié(e),Commercial,Cadre Commercial,1,6,5,3,2,5,28,2,Marketing,Occasionnel,1,4,1,3,2,2,4,4,4,Non,20.0,1045,0.833,0.6,0.2,896.0,3135.98,2.75,1,1,0,0,1,0
24,M,2127,Marié(e),Consulting,Consultant,1,1,1,0,1,2,17,2,Autre,Occasionnel,0,0,4,2,1,2,4,3,4,Non,21.0,369,1.0,0.0,0.0,1063.5,2126.98,3.25,2,2,0,1,1,0
50,M,18200,Marié(e),Ressources Humaines,Senior Manager,1,32,32,5,1,2,3,3,Transformation Digitale,Frequent,10,7,1,3,5,2,3,3,3,Non,11.0,1804,1.0,0.156,0.312,551.52,3639.99,2.25,1,0,0,0,0,0
25,M,2096,Marié(e),Commercial,Représentant Commercial,1,7,7,4,0,1,13,1,Transformation Digitale,Occasionnel,0,6,2,3,1,3,3,3,3,Non,11.0,208,1.0,0.571,0.0,262.0,2095.98,2.75,2,0,0,0,0,0
24,F,2886,Marié(e),Consulting,Consultant,1,6,6,3,1,4,7,3,Infra & Cloud,Frequent,1,2,1,3,1,3,4,3,3,Oui,16.0,398,1.0,0.5,0.167,412.29,2885.97,2.75,1,0,1,0,0,0
30,M,2033,Marié(e),Commercial,Représentant Commercial,1,1,1,0,1,2,12,4,Infra & Cloud,Frequent,0,0,2,2,1,1,3,4,3,Non,18.0,310,1.0,0.0,0.0,1016.5,2032.98,2.5,1,1,0,1,0,0
34,M,3622,Marié(e),Consulting,Assistant de Direction,1,6,6,5,1,3,1,2,Infra & Cloud,Occasionnel,1,3,2,2,1,4,4,3,3,Oui,13.0,417,1.0,0.833,0.167,517.43,3621.96,3.25,2,1,1,0,0,0
31,M,4233,Divorcé(e),Commercial,Cadre Commercial,2,9,3,1,0,2,13,4,Transformation Digitale,Occasionnel,1,2,2,3,2,1,3,1,3,Non,17.0,615,0.333,0.333,0.333,423.3,2116.49,1.75,1,0,0,0,0,0
35,M,3681,Célibataire,Consulting,Consultant,4,9,3,2,0,3,25,2,Autre,Occasionnel,0,2,1,2,2,4,4,3,3,Non,14.000000000000002,452,0.333,0.667,0.0,368.1,1840.49,3.0,1,1,0,0,1,0
31,M,5460,Divorcé(e),Commercial,Cadre Commercial,4,13,7,7,2,4,6,4,Transformation Digitale,Occasionnel,5,7,1,4,2,4,4,4,4,Non,22.0,985,0.538,1.0,0.714,390.0,2729.99,3.25,1,0,0,0,0,0
27,F,2187,Divorcé(e),Consulting,Assistant de Direction,0,6,5,3,2,5,6,4,Transformation Digitale,Occasionnel,0,3,1,2,1,3,3,2,3,Non,12.0,234,0.833,0.6,0.0,312.43,2186.98,2.25,1,1,0,0,0,0
37,M,9602,Marié(e),Commercial,Cadre Commercial,4,17,3,0,1,3,2,3,Marketing,Occasionnel,1,0,4,3,2,3,3,2,3,Oui,11.0,952,0.176,0.0,0.333,533.44,4800.98,3.0,2,0,0,0,0,0
20,F,2836,Célibataire,Consulting,Assistant de Direction,1,1,1,0,0,0,1,3,Infra & Cloud,Occasionnel,0,0,4,2,1,2,4,4,3,Non,13.0,326,1.0,0.0,0.0,1418.0,2835.97,3.5,2,1,0,1,0,0
42,F,4089,Marié(e),Consulting,Manager,1,10,10,2,2,4,2,4,Infra & Cloud,Occasionnel,2,2,3,3,2,4,2,3,3,Non,13.0,470,1.0,0.2,0.2,371.73,2044.49,3.0,2,0,0,0,0,0
43,M,16627,Divorcé(e),Consulting,Directeur Technique,4,21,1,0,1,3,6,4,Autre,Occasionnel,0,0,2,2,4,4,3,2,3,Oui,14.000000000000002,2042,0.048,0.0,0.0,755.77,4156.74,2.75,2,1,0,0,0,0
38,F,2619,Célibataire,Consulting,Assistant de Direction,3,8,0,0,0,3,1,1,Infra & Cloud,Occasionnel,0,0,3,3,1,1,4,2,3,Non,17.0,381,0.0,0.0,0.0,291.0,2618.97,2.5,1,0,0,0,0,0
43,M,5679,Divorcé(e),Consulting,Consultant,3,10,8,7,1,3,9,5,Transformation Digitale,Frequent,4,7,4,3,2,3,2,3,3,Oui,13.0,653,0.8,0.875,0.5,516.27,2839.49,3.0,2,0,0,0,0,0
48,F,15402,Marié(e),Consulting,Senior Manager,7,21,3,2,1,3,1,4,Infra & Cloud,Occasionnel,0,2,4,2,4,1,1,1,3,Non,11.0,1526,0.143,0.667,0.0,700.09,3850.49,1.75,1,1,0,0,0,1
44,F,5985,Célibataire,Ressources Humaines,Ressources Humaines,4,10,2,2,0,1,1,4,Infra & Cloud,Occasionnel,0,2,1,2,2,3,2,4,3,Non,11.0,593,0.2,1.0,0.0,544.09,2992.49,2.5,1,1,0,0,0,0
34,F,2579,Divorcé(e),Commercial,Représentant Commercial,1,8,8,2,2,3,14,3,Entrepreunariat,Occasionnel,0,6,3,3,1,3,4,3,3,Oui,18.0,393,1.0,0.25,0.0,286.56,2578.97,3.25,3,0,1,0,0,0
27,M,3041,Divorcé(e),Commercial,Représentant Commercial,0,5,4,3,1,3,2,1,Marketing,Occasionnel,0,2,3,3,1,1,2,3,3,Non,11.0,301,0.8,0.75,0.0,506.83,3040.97,2.25,1,0,0,0,0,0
21,M,3447,Célibataire,Commercial,Représentant Commercial,1,3,3,2,0,2,22,1,Entrepreunariat,Occasionnel,1,2,3,3,1,3,3,3,3,Non,11.0,342,1.0,0.667,0.333,861.75,3446.97,3.0,3,0,0,0,1,0
44,M,19513,Marié(e),Consulting,Senior Manager,4,26,2,2,1,2,3,4,Autre,Occasionnel,0,1,4,3,5,4,1,4,3,Oui,12.0,2091,0.077,1.0,0.0,722.7,3902.59,3.25,1,0,0,0,0,0
22,M,2773,Marié(e),Consulting,Assistant de Direction,0,3,2,2,0,3,6,1,Transformation Digitale,Occasionnel,2,2,1,3,1,3,4,3,4,Non,20.0,462,0.667,1.0,1.0,693.25,2772.97,2.75,1,1,0,1,0,0
33,M,7104,Divorcé(e),Commercial,Cadre Commercial,0,6,5,0,0,3,8,4,Marketing,Occasionnel,1,2,3,3,2,3,4,3,3,Non,12.0,761,0.833,0.0,0.2,1014.86,3551.98,3.25,3,0,0,0,0,0
32,F,6322,Marié(e),Consulting,Assistant de Direction,1,6,6,4,1,2,9,4,Infra & Cloud,Occasionnel,0,5,1,3,2,4,4,2,3,Oui,12.0,677,1.0,0.667,0.0,903.14,3160.98,2.75,1,0,0,0,0,0
